district,tehsil,locality,property_type,rate_sqm,effective_date
Noida,Dadri,Phase 123,Residential,78000,2023-08-01
Noida,Gautam Buddha Nagar,Subhash Extension ,Residential,90000,2023-08-01
Noida,Gautam Buddha Nagar,Phase 76,Commercial,148000,2023-08-01
Noida,Gautam Buddha Nagar,Sector 111,Residential,96000,2023-08-01
Noida,Gautam Buddha Nagar,Phase 103,Residential,56000,2023-08-01
Noida,Gautam Buddha Nagar,Rajiv Extension ,Residential,75000,2023-08-01
Noida,Gautam Buddha Nagar,Arya Tech Zone ,Commercial,174000,2023-08-01
Noida,Dadri,Sector 130,Agricultural,18000,2023-08-01
Noida,Dadri,Kalyan Expressway ,Residential,70000,2023-08-01
Noida,Jewar,Gandhi Tech Zone ,Agricultural,24000,2023-08-01
Noida,Jewar,Ashok Expressway ,Residential,86000,2023-08-01
Noida,Jewar,Phase 115,Agricultural,15000,2023-08-01
Noida,Jewar,Shiv Expressway ,Residential,52000,2023-08-01
Noida,Dadri,Phase 108,Residential,81000,2023-08-01
Noida,Dadri,Phase 16,Commercial,182000,2023-08-01
Noida,Dadri,Nehru Tech Zone ,Residential,93000,2023-08-01
Noida,Gautam Buddha Nagar,Sector 40,Residential,89000,2023-08-01
Noida,Dadri,Sector 55,Commercial,143000,2023-08-01
Noida,Jewar,Phase 85,Commercial,216000,2023-08-01
Kanpur,Bilhaur,Ram Chauraha,Residential,30000,2023-08-01
Kanpur,Ghatampur,Subhash Ganj,Residential,31000,2023-08-01
Kanpur,Ghatampur,Shiv Pur,Commercial,64000,2023-08-01
Kanpur,Ghatampur,Vivekananda Pur,Residential,28000,2023-08-01
Kanpur,Bilhaur,Ashok Pur,Agricultural,6000,2023-08-01
Kanpur,Ghatampur,Gomti Pur,Commercial,69000,2023-08-01
Kanpur,Kanpur Nagar,Saraswati Ganj,Agricultural,8000,2023-08-01
Kanpur,Ghatampur,Rajiv Pur,Commercial,44000,2023-08-01
Kanpur,Bilhaur,Gandhi Ganj,Residential,19000,2023-08-01
Kanpur,Bilhaur,Tagore Ghat,Commercial,74000,2023-08-01
Kanpur,Ghatampur,Patel Pur,Agricultural,7000,2023-08-01
Kanpur,Kanpur Nagar,Krishna Ghat,Residential,19000,2023-08-01
Kanpur,Bilhaur,Saket Pur,Residential,30000,2023-08-01
Kanpur,Kanpur Nagar,Nehru Pur,Commercial,56000,2023-08-01
Kanpur,Bilhaur,Patel Chauraha,Residential,19000,2023-08-01
Kanpur,Kanpur Nagar,Saket Nagar,Residential,26000,2023-08-01
Kanpur,Bilhaur,Gomti Kheda,Residential,31000,2023-08-01
Kanpur,Kanpur Nagar,Tagore Kheda,Residential,27000,2023-08-01
Kanpur,Bilhaur,Shyam Ganj,Commercial,47000,2023-08-01
Kanpur,Ghatampur,Indira Pur,Residential,26000,2023-08-01
Kanpur,Kanpur Nagar,Yamuna Chauraha,Commercial,80000,2023-08-01
Kanpur,Kanpur Nagar,Vivekananda Chauraha,Residential,27000,2023-08-01
Kanpur,Kanpur Nagar,Tagore Nagar,Residential,22000,2023-08-01
Kanpur,Ghatampur,Vivekananda Kheda,Residential,22000,2023-08-01
Kanpur,Bilhaur,Shyam Chauraha,Commercial,49000,2023-08-01
Kanpur,Kanpur Nagar,Ganga Chauraha,Agricultural,8000,2023-08-01
Kanpur,Kanpur Nagar,Shyam Ghat,Commercial,54000,2023-08-01
Kanpur,Bilhaur,Gomti Chauraha,Commercial,61000,2023-08-01
Kanpur,Kanpur Nagar,Gandhi Chauraha,Commercial,53000,2023-08-01
Kanpur,Bilhaur,Patel Ghat,Residential,29000,2023-08-01
Kanpur,Ghatampur,Yamuna Ganj,Commercial,79000,2023-08-01
Kanpur,Ghatampur,Shiv Nagar,Commercial,63000,2023-08-01
Kanpur,Bilhaur,Rajiv Ganj,Residential,19000,2023-08-01
Kanpur,Kanpur Nagar,Gomti Ghat,Residential,20000,2023-08-01
Kanpur,Kanpur Nagar,Krishna Chauraha,Commercial,81000,2023-08-01
Kanpur,Bilhaur,Saket Kheda,Residential,25000,2023-08-01
Kanpur,Ghatampur,Rajiv Kheda,Commercial,47000,2023-08-01
Kanpur,Ghatampur,Gomti Nagar,Residential,21000,2023-08-01
Kanpur,Kanpur Nagar,Ram Kheda,Residential,29000,2023-08-01
Kanpur,Bilhaur,Azad Chauraha,Commercial,71000,2023-08-01
Kanpur,Bilhaur,Ram Nagar,Residential,22000,2023-08-01
Kanpur,Bilhaur,Yamuna Kheda,Residential,30000,2023-08-01
Kanpur,Bilhaur,Shastri Nagar,Commercial,52000,2023-08-01
Kanpur,Bilhaur,Arya Kheda,Residential,22000,2023-08-01
Kanpur,Ghatampur,Ram Ganj,Residential,29000,2023-08-01
Kanpur,Bilhaur,Shyam Nagar,Agricultural,7000,2023-08-01
Kanpur,Bilhaur,Saket Chauraha,Residential,28000,2023-08-01
Kanpur,Ghatampur,Ashok Ghat,Residential,17000,2023-08-01
Kanpur,Bilhaur,Shiv Chauraha,Agricultural,9000,2023-08-01
Kanpur,Ghatampur,Ganga Nagar,Residential,25000,2023-08-01
Kanpur,Ghatampur,Ashok Chauraha,Residential,29000,2023-08-01
Kanpur,Bilhaur,Shastri Kheda,Residential,18000,2023-08-01
Kanpur,Kanpur Nagar,Kalyan Kheda,Residential,18000,2023-08-01
Kanpur,Bilhaur,Subhash Pur,Residential,29000,2023-08-01
Kanpur,Ghatampur,Patel Kheda,Commercial,61000,2023-08-01
Kanpur,Bilhaur,Vasant Chauraha,Commercial,71000,2023-08-01
Kanpur,Bilhaur,Ganga Ghat,Residential,31000,2023-08-01
Kanpur,Ghatampur,Govind Nagar,Residential,21000,2023-08-01
Kanpur,Kanpur Nagar,Shastri Ganj,Residential,30000,2023-08-01
Kanpur,Bilhaur,Laxmi Kheda,Commercial,63000,2023-08-01
Kanpur,Ghatampur,Govind Ghat,Residential,23000,2023-08-01
Kanpur,Kanpur Nagar,Shastri Chauraha,Commercial,80000,2023-08-01
Kanpur,Kanpur Nagar,Tagore Pur,Agricultural,8000,2023-08-01
Kanpur,Ghatampur,Rajiv Chauraha,Residential,19000,2023-08-01
Varanasi,Pindra,Shyam Pur,Residential,30000,2023-08-01
Varanasi,Pindra,Kalyan Khand,Residential,29000,2023-08-01
Varanasi,Varanasi,Vasant Khand,Residential,31000,2023-08-01
Varanasi,Varanasi,Ashok Khand,Residential,38000,2023-08-01
Varanasi,Varanasi,Shiv Market,Agricultural,12000,2023-08-01
Varanasi,Pindra,Nehru Colony,Commercial,129000,2023-08-01
Varanasi,Pindra,Shastri Ghat,Residential,50000,2023-08-01
Varanasi,Pindra,Govind Khand,Residential,50000,2023-08-01
Varanasi,Pindra,Indira Ghat,Residential,48000,2023-08-01
Varanasi,Pindra,Vasant Pur,Commercial,75000,2023-08-01
Varanasi,Pindra,Shiv Ghat,Commercial,70000,2023-08-01
Varanasi,Raja Talab,Krishna Nagar,Residential,28000,2023-08-01
Varanasi,Pindra,Azad Colony,Residential,31000,2023-08-01
Varanasi,Raja Talab,Arya Pur,Residential,31000,2023-08-01
Varanasi,Raja Talab,Ganga Ghat,Residential,37000,2023-08-01
Varanasi,Raja Talab,Ram Khand,Residential,45000,2023-08-01
Varanasi,Raja Talab,Gomti Nagar,Residential,29000,2023-08-01
Varanasi,Pindra,Patel Colony,Residential,29000,2023-08-01
Varanasi,Raja Talab,Ashok Nagar,Residential,50000,2023-08-01
Varanasi,Pindra,Azad Khand,Agricultural,12000,2023-08-01
Varanasi,Raja Talab,Tagore Colony,Agricultural,8000,2023-08-01
Varanasi,Pindra,Saket Market,Commercial,102000,2023-08-01
Varanasi,Pindra,Rajiv Colony,Commercial,124000,2023-08-01
Varanasi,Varanasi,Krishna Market,Residential,40000,2023-08-01
Varanasi,Varanasi,Ganga Khand,Residential,36000,2023-08-01
Varanasi,Varanasi,Shyam Khand,Agricultural,13000,2023-08-01
Varanasi,Varanasi,Govind Ghat,Agricultural,8000,2023-08-01
Varanasi,Varanasi,Ganga Colony,Agricultural,12000,2023-08-01
Varanasi,Raja Talab,Rajiv Ghat,Agricultural,15000,2023-08-01
Varanasi,Pindra,Yamuna Pur,Residential,31000,2023-08-01
Varanasi,Raja Talab,Saraswati Ghat,Residential,28000,2023-08-01
Varanasi,Pindra,Krishna Pur,Residential,46000,2023-08-01
Varanasi,Varanasi,Nehru Nagar,Agricultural,13000,2023-08-01
Varanasi,Pindra,Patel Pur,Residential,33000,2023-08-01
Varanasi,Varanasi,Saket Colony,Residential,39000,2023-08-01
Varanasi,Pindra,Ashok Pur,Commercial,82000,2023-08-01
Varanasi,Varanasi,Vasant Market,Residential,38000,2023-08-01
Varanasi,Pindra,Shiv Pur,Residential,37000,2023-08-01
Varanasi,Raja Talab,Rajiv Nagar,Residential,38000,2023-08-01
Varanasi,Varanasi,Laxmi Nagar,Residential,32000,2023-08-01
Varanasi,Pindra,Tagore Khand,Residential,46000,2023-08-01
Varanasi,Pindra,Subhash Ghat,Residential,32000,2023-08-01
Varanasi,Pindra,Shastri Khand,Agricultural,10000,2023-08-01
Varanasi,Varanasi,Ashok Ghat,Residential,33000,2023-08-01
Varanasi,Varanasi,Saraswati Nagar,Residential,42000,2023-08-01
Varanasi,Raja Talab,Azad Ghat,Residential,29000,2023-08-01
Varanasi,Varanasi,Ram Nagar,Residential,50000,2023-08-01
Varanasi,Pindra,Rajiv Khand,Residential,44000,2023-08-01
Varanasi,Pindra,Shastri Pur,Residential,37000,2023-08-01
Varanasi,Raja Talab,Shiv Nagar,Commercial,117000,2023-08-01
Varanasi,Raja Talab,Ram Market,Residential,48000,2023-08-01
Varanasi,Varanasi,Subhash Colony,Commercial,115000,2023-08-01
Varanasi,Raja Talab,Kalyan Colony,Commercial,116000,2023-08-01
Varanasi,Raja Talab,Vivekananda Khand,Commercial,88000,2023-08-01
Varanasi,Pindra,Ganga Nagar,Residential,44000,2023-08-01
Varanasi,Raja Talab,Vivekananda Market,Residential,30000,2023-08-01
Varanasi,Raja Talab,Tagore Pur,Commercial,116000,2023-08-01
Varanasi,Raja Talab,Gomti Pur,Commercial,105000,2023-08-01
Varanasi,Varanasi,Ram Pur,Commercial,70000,2023-08-01
Varanasi,Varanasi,Kalyan Ghat,Commercial,96000,2023-08-01
Varanasi,Pindra,Yamuna Colony,Residential,36000,2023-08-01
Varanasi,Raja Talab,Vivekananda Nagar,Residential,52000,2023-08-01
Varanasi,Pindra,Kalyan Pur,Commercial,106000,2023-08-01
Agra,Kiraoli,Shiv Market,Commercial,71000,2023-08-01
Agra,Kiraoli,Krishna Bagh,Residential,23000,2023-08-01
Agra,Agra,Arya Ganj,Commercial,65000,2023-08-01
Agra,Kiraoli,Shastri Khand,Commercial,51000,2023-08-01
Agra,Fatehabad,Yamuna Ganj,Residential,28000,2023-08-01
Agra,Fatehabad,Rajiv Ganj,Residential,33000,2023-08-01
Agra,Fatehabad,Vasant Nagar,Residential,31000,2023-08-01
Agra,Kiraoli,Indira Market,Residential,25000,2023-08-01
Agra,Fatehabad,Azad Nagar,Residential,37000,2023-08-01
Agra,Fatehabad,Saket Khand,Residential,36000,2023-08-01
Agra,Agra,Nehru Bagh,Residential,27000,2023-08-01
Agra,Fatehabad,Laxmi Bagh,Residential,36000,2023-08-01
Agra,Agra,Shiv Vihar,Residential,31000,2023-08-01
Agra,Agra,Patel Market,Commercial,50000,2023-08-01
Agra,Agra,Krishna Khand,Residential,25000,2023-08-01
Agra,Agra,Govind Ganj,Commercial,61000,2023-08-01
Agra,Kiraoli,Kalyan Nagar,Residential,32000,2023-08-01
Agra,Kiraoli,Saket Ganj,Residential,31000,2023-08-01
Agra,Agra,Arya Bagh,Commercial,62000,2023-08-01
Agra,Agra,Indira Nagar,Residential,30000,2023-08-01
Agra,Kiraoli,Gomti Market,Residential,25000,2023-08-01
Agra,Fatehabad,Subhash Market,Residential,25000,2023-08-01
Agra,Agra,Tagore Vihar,Commercial,83000,2023-08-01
Agra,Fatehabad,Shyam Ganj,Commercial,50000,2023-08-01
Agra,Kiraoli,Saraswati Market,Residential,31000,2023-08-01
Agra,Kiraoli,Shyam Nagar,Residential,36000,2023-08-01
Agra,Agra,Gomti Khand,Agricultural,9000,2023-08-01
Agra,Fatehabad,Krishna Vihar,Commercial,54000,2023-08-01
Agra,Agra,Indira Khand,Residential,34000,2023-08-01
Agra,Fatehabad,Govind Khand,Commercial,70000,2023-08-01
Agra,Kiraoli,Patel Vihar,Commercial,61000,2023-08-01
Agra,Kiraoli,Shastri Ganj,Commercial,70000,2023-08-01
Agra,Kiraoli,Shiv Khand,Residential,28000,2023-08-01
Agra,Agra,Yamuna Vihar,Commercial,78000,2023-08-01
Agra,Kiraoli,Tagore Ganj,Commercial,84000,2023-08-01
Agra,Agra,Ashok Ganj,Residential,25000,2023-08-01
Agra,Kiraoli,Tagore Nagar,Residential,24000,2023-08-01
Agra,Kiraoli,Indira Ganj,Agricultural,10000,2023-08-01
Agra,Fatehabad,Shiv Bagh,Commercial,63000,2023-08-01
Agra,Agra,Saraswati Bagh,Residential,24000,2023-08-01
Agra,Agra,Gandhi Bagh,Residential,20000,2023-08-01
Agra,Agra,Shyam Vihar,Commercial,53000,2023-08-01
Agra,Kiraoli,Ganga Khand,Residential,22000,2023-08-01
Agra,Agra,Saket Bagh,Residential,22000,2023-08-01
Agra,Agra,Nehru Khand,Agricultural,6000,2023-08-01
Agra,Kiraoli,Gomti Ganj,Commercial,63000,2023-08-01
Agra,Agra,Gandhi Market,Residential,34000,2023-08-01
Agra,Fatehabad,Saraswati Nagar,Residential,25000,2023-08-01
Agra,Agra,Patel Bagh,Commercial,56000,2023-08-01
Agra,Kiraoli,Azad Ganj,Residential,20000,2023-08-01
Agra,Agra,Shiv Nagar,Residential,25000,2023-08-01
Agra,Agra,Ganga Vihar,Residential,23000,2023-08-01
Agra,Fatehabad,Tagore Khand,Agricultural,6000,2023-08-01
Agra,Agra,Patel Ganj,Commercial,66000,2023-08-01
Agra,Agra,Rajiv Bagh,Agricultural,7000,2023-08-01
Agra,Agra,Rajiv Vihar,Residential,25000,2023-08-01
Agra,Fatehabad,Shyam Market,Commercial,77000,2023-08-01
Agra,Agra,Subhash Nagar,Residential,26000,2023-08-01
Agra,Kiraoli,Saraswati Ganj,Residential,30000,2023-08-01
Agra,Kiraoli,Ram Khand,Residential,30000,2023-08-01
Prayagraj,Phulpur,Indira Ganj,Agricultural,10000,2023-08-01
Prayagraj,Sadar,Arya Puram,Residential,28000,2023-08-01
Prayagraj,Sadar,Shyam Road,Residential,35000,2023-08-01
Prayagraj,Phulpur,Vasant Katra,Residential,36000,2023-08-01
Prayagraj,Karchhana,Arya Katra,Commercial,76000,2023-08-01
Prayagraj,Karchhana,Kalyan Road,Residential,34000,2023-08-01
Prayagraj,Sadar,Subhash Chowk,Residential,40000,2023-08-01
Prayagraj,Phulpur,Shyam Puram,Residential,26000,2023-08-01
Prayagraj,Karchhana,Vasant Chowk,Residential,34000,2023-08-01
Prayagraj,Phulpur,Saraswati Road,Commercial,72000,2023-08-01
Prayagraj,Karchhana,Saraswati Nagar,Residential,31000,2023-08-01
Prayagraj,Phulpur,Shyam Nagar,Residential,39000,2023-08-01
Prayagraj,Phulpur,Shastri Ganj,Residential,37000,2023-08-01
Prayagraj,Karchhana,Laxmi Chowk,Residential,34000,2023-08-01
Prayagraj,Phulpur,Nehru Nagar,Residential,27000,2023-08-01
Prayagraj,Karchhana,Govind Road,Residential,29000,2023-08-01
Prayagraj,Phulpur,Shastri Puram,Commercial,85000,2023-08-01
Prayagraj,Phulpur,Rajiv Nagar,Residential,34000,2023-08-01
Prayagraj,Karchhana,Krishna Road,Residential,33000,2023-08-01
Prayagraj,Karchhana,Shastri Chowk,Residential,30000,2023-08-01
Prayagraj,Karchhana,Patel Katra,Residential,23000,2023-08-01
Prayagraj,Sadar,Vivekananda Nagar,Residential,25000,2023-08-01
Prayagraj,Phulpur,Patel Ganj,Commercial,67000,2023-08-01
Prayagraj,Phulpur,Ram Katra,Residential,23000,2023-08-01
Prayagraj,Sadar,Govind Ganj,Residential,41000,2023-08-01
Prayagraj,Karchhana,Patel Road,Residential,28000,2023-08-01
Prayagraj,Sadar,Gomti Road,Residential,38000,2023-08-01
Prayagraj,Karchhana,Yamuna Puram,Commercial,74000,2023-08-01
Prayagraj,Phulpur,Arya Nagar,Residential,29000,2023-08-01
Prayagraj,Phulpur,Saket Chowk,Commercial,82000,2023-08-01
Prayagraj,Karchhana,Krishna Chowk,Residential,37000,2023-08-01
Prayagraj,Phulpur,Tagore Ganj,Residential,31000,2023-08-01
Prayagraj,Karchhana,Saket Nagar,Residential,35000,2023-08-01
Prayagraj,Sadar,Shiv Ganj,Residential,34000,2023-08-01
Prayagraj,Phulpur,Tagore Katra,Commercial,95000,2023-08-01
Prayagraj,Karchhana,Krishna Ganj,Residential,35000,2023-08-01
Prayagraj,Karchhana,Shastri Katra,Residential,27000,2023-08-01
Prayagraj,Phulpur,Tagore Nagar,Agricultural,10000,2023-08-01
Prayagraj,Sadar,Gomti Chowk,Residential,28000,2023-08-01
Prayagraj,Sadar,Ganga Puram,Commercial,64000,2023-08-01
Prayagraj,Phulpur,Gomti Ganj,Agricultural,6000,2023-08-01
Prayagraj,Sadar,Yamuna Ganj,Residential,39000,2023-08-01
Prayagraj,Phulpur,Govind Nagar,Commercial,94000,2023-08-01
Prayagraj,Phulpur,Ashok Road,Commercial,66000,2023-08-01
Prayagraj,Karchhana,Nehru Road,Residential,28000,2023-08-01
Prayagraj,Phulpur,Laxmi Nagar,Residential,36000,2023-08-01
Prayagraj,Sadar,Shiv Puram,Commercial,86000,2023-08-01
Prayagraj,Phulpur,Shyam Katra,Residential,35000,2023-08-01
Prayagraj,Phulpur,Krishna Katra,Commercial,64000,2023-08-01
Prayagraj,Karchhana,Indira Nagar,Residential,30000,2023-08-01
Prayagraj,Karchhana,Azad Ganj,Agricultural,12000,2023-08-01
Prayagraj,Karchhana,Vivekananda Chowk,Agricultural,7000,2023-08-01
Prayagraj,Phulpur,Indira Chowk,Residential,22000,2023-08-01
Prayagraj,Phulpur,Vivekananda Road,Residential,23000,2023-08-01
Prayagraj,Sadar,Nehru Chowk,Agricultural,8000,2023-08-01
Prayagraj,Karchhana,Saraswati Ganj,Agricultural,7000,2023-08-01
Prayagraj,Phulpur,Ganga Chowk,Residential,29000,2023-08-01
Prayagraj,Phulpur,Laxmi Ganj,Residential,24000,2023-08-01
Prayagraj,Karchhana,Kalyan Ganj,Commercial,68000,2023-08-01
Prayagraj,Sadar,Azad Puram,Commercial,88000,2023-08-01
Meerut,Meerut,Yamuna City,Residential,39000,2023-08-01
Meerut,Meerut,Laxmi City,Residential,23000,2023-08-01
Meerut,Mawana,Indira Nagar,Residential,32000,2023-08-01
Meerut,Meerut,Shiv Nagar,Residential,33000,2023-08-01
Meerut,Meerut,Saket City,Residential,35000,2023-08-01
Meerut,Mawana,Rajiv Road,Commercial,79000,2023-08-01
